parameter,genotype,bacteria,mean_auc,mean_auc_col0,diff_vs_col0,p_value_vs_col0,mean_auc_mock,diff_vs_mock,p_value_vs_mock
n_pixels_main_root_tip,Col-0,mock,1758.8333333333333,1758.8333333333333,0.0,,1758.8333333333333,0.0,
n_pixels_main_root_tip,,417pvd,,1830.0,,,,,
n_pixels_main_root_tip,,417r,,1830.0,,,,,
n_pixels_main_root_tip,,mock,,1758.8333333333333,,,,,
n_pixels_other_tip,DR5v2,417pvd,56965.2,50260.9,6704.299999999996,0.07583792801052684,51793.13157894737,5172.068421052631,0.0838581450677655
n_pixels_other_tip,DR5v2,417r,59576.9,55731.5,3845.4000000000015,0.4911553079298415,51793.13157894737,7783.768421052635,0.040347794250004114
n_pixels_other_tip,DR5v2,mock,51793.13157894737,50971.5,821.6315789473665,0.8259536434448617,51793.13157894737,0.0,
n_pixels_other_tip,Col-0,417pvd,50260.9,50260.9,0.0,,50971.5,-710.5999999999985,0.8641271960305497
n_pixels_other_tip,Col-0,417r,55731.5,55731.5,0.0,,50971.5,4760.0,0.40051423656054597
n_pixels_other_tip,Col-0,mock,50971.5,50971.5,0.0,,50971.5,0.0,
n_pixels_other_tip,,417pvd,,50260.9,,,,,
n_pixels_other_tip,,417r,,55731.5,,,,,
n_pixels_other_tip,,mock,,50971.5,,,,,
n_pixels_node,DR5v2,417pvd,27185.125,26839.5,345.625,0.8906426723098401,24799.052631578947,2386.0723684210534,0.19403190615619553
n_pixels_node,DR5v2,417r,26315.1,27638.9,-1323.800000000003,0.6348394433934026,24799.052631578947,1516.047368421052,0.2792632833438186
n_pixels_node,DR5v2,mock,24799.052631578947,19310.333333333332,5488.7192982456145,0.179172163532835,24799.052631578947,0.0,
n_pixels_node,Col-0,417pvd,26839.5,26839.5,0.0,,19310.333333333332,7529.166666666668,0.0951789467325521
n_pixels_node,Col-0,417r,27638.9,27638.9,0.0,,19310.333333333332,8328.56666666667,0.08205495362995575
n_pixels_node,Col-0,mock,19310.333333333332,19310.333333333332,0.0,,19310.333333333332,0.0,
