parameter,genotype,bacteria,mean_auc,mean_auc_col0,diff_vs_col0,p_value_vs_col0,mean_auc_mock,diff_vs_mock,p_value_vs_mock
sum_fluorescence_lateral_root,,mock,,41544279.833333336,,,,,
sum_fluorescence_main_root_tip,DR5v2,417pvd,994833.575,891553.7,103279.875,0.07744186297131418,234978.13157894736,759855.4434210525,1.2474417053403824e-12
sum_fluorescence_main_root_tip,DR5v2,417r,1188230.1,1291345.0,-103114.8999999999,0.25823801097283183,234978.13157894736,953251.9684210527,3.889922970445263e-11
sum_fluorescence_main_root_tip,DR5v2,mock,234978.13157894736,224448.25,10529.88157894736,0.2691135441317242,234978.13157894736,0.0,
sum_fluorescence_main_root_tip,Col-0,417pvd,891553.7,891553.7,0.0,,224448.25,667105.45,8.773156638808497e-06
sum_fluorescence_main_root_tip,Col-0,417r,1291345.0,1291345.0,0.0,,224448.25,1066896.75,2.469262113879339e-05
sum_fluorescence_main_root_tip,Col-0,mock,224448.25,224448.25,0.0,,224448.25,0.0,
sum_fluorescence_main_root_tip,,417pvd,,891553.7,,,,,
sum_fluorescence_main_root_tip,,417r,,1291345.0,,,,,
sum_fluorescence_main_root_tip,,mock,,224448.25,,,,,
sum_fluorescence_other_tip,DR5v2,417pvd,14535011.725,12189514.1,2345497.625,0.07415672128422435,6581035.394736842,7953976.330263157,8.961607927506174e-15
sum_fluorescence_other_tip,DR5v2,417r,17522720.35,16284069.3,1238651.0500000007,0.5840054500444036,6581035.394736842,10941684.95526316,6.840914162343876e-09
sum_fluorescence_other_tip,DR5v2,mock,6581035.394736842,6490155.25,90880.14473684225,0.8488752692778958,6581035.394736842,0.0,
sum_fluorescence_other_tip,Col-0,417pvd,12189514.1,12189514.1,0.0,,6490155.25,5699358.85,0.0024595685251257117
sum_fluorescence_other_tip,Col-0,417r,16284069.3,16284069.3,0.0,,6490155.25,9793914.05,0.005067089761428014
sum_fluorescence_other_tip,Col-0,mock,6490155.25,6490155.25,0.0,,6490155.25,0.0,
sum_fluorescence_other_tip,,417pvd,,12189514.1,,,,,
sum_fluorescence_other_tip,,417r,,16284069.3,,,,,
sum_fluorescence_other_tip,,mock,,6490155.25,,,,,
sum_fluorescence_node,DR5v2,417pvd,12000924.45,11317656.9,683267.5499999989,0.6359657546310185,3149757.3157894737,8851167.134210525,2.6734342916077705e-09
sum_fluorescence_node,DR5v2,417r,12951719.775,14228116.9,-1276397.125,0.47890985666588204,3149757.3157894737,9801962.459210526,5.662469114803452e-11
sum_fluorescence_node,DR5v2,mock,3149757.3157894737,2462143.1666666665,687614.1491228072,0.18548924785633894,3149757.3157894737,0.0,
sum_fluorescence_node,Col-0,417pvd,11317656.9,11317656.9,0.0,,2462143.1666666665,8855513.733333334,0.0005390612393192518
sum_fluorescence_node,Col-0,417r,14228116.9,14228116.9,0.0,,2462143.1666666665,11765973.733333334,0.0009010363600230793
sum_fluorescence_node,Col-0,mock,2462143.1666666665,2462143.1666666665,0.0,,2462143.1666666665,0.0,
sum_fluorescence_node,,417pvd,,11317656.9,,,,,
sum_fluorescence_node,,417r,,14228116.9,,,,,
sum_fluorescence_node,,mock,,2462143.1666666665,,,,,
sum_fluorescence_dilated_root_exclusive,DR5v2,417pvd,1619687157.45,1546036377.8,73650779.6500001,0.6354422971864366,1194035918.4473684,425651239.00263166,0.00034136073882271934
sum_fluorescence_dilated_root_exclusive,DR5v2,417r,1819524585.4,1850757922.9,-31233337.5,0.8713538976316063,1194035918.4473684,625488666.9526317,3.054814900696658e-06
sum_fluorescence_dilated_root_exclusive,DR5v2,mock,1194035918.4473684,1115435715.5833333,78600202.86403513,0.43173632965798225,1194035918.4473684,0.0,
sum_fluorescence_dilated_root_exclusive,Col-0,417pvd,1546036377.8,1546036377.8,0.0,,1115435715.5833333,430600662.2166667,0.01912938647184703
sum_fluorescence_dilated_root_exclusive,Col-0,417r,1850757922.9,1850757922.9,0.0,,1115435715.5833333,735322207.3166668,0.006262603332689882
sum_fluorescence_dilated_root_exclusive,Col-0,mock,1115435715.5833333,1115435715.5833333,0.0,,1115435715.5833333,0.0,
sum_fluorescence_dilated_root_exclusive,,417pvd,,1546036377.8,,,,,
sum_fluorescence_dilated_root_exclusive,,417r,,1850757922.9,,,,,
sum_fluorescence_dilated_root_exclusive,,mock,,1115435715.5833333,,,,,
sum_fluorescence_dilated_root,DR5v2,417pvd,1798551642.3,1719243653.1,79307989.20000005,0.6457941364458295,1253137510.868421,545414131.4315789,6.400143418342706e-05
sum_fluorescence_dilated_root,DR5v2,417r,2026341736.9,2070631004.4,-44289267.5,0.8362603557775588,1253137510.868421,773204226.031579,4.937429308044621e-07
sum_fluorescence_dilated_root,DR5v2,mock,1253137510.868421,1171527386.9166667,81610123.95175433,0.4373626788557864,1253137510.868421,0.0,
sum_fluorescence_dilated_root,Col-0,417pvd,1719243653.1,1719243653.1,0.0,,1171527386.9166667,547716266.1833332,0.009831979819683914
sum_fluorescence_dilated_root,Col-0,417r,2070631004.4,2070631004.4,0.0,,1171527386.9166667,899103617.4833333,0.004097901380610305
sum_fluorescence_dilated_root,Col-0,mock,1171527386.9166667,1171527386.9166667,0.0,,1171527386.9166667,0.0,
sum_fluorescence_dilated_root,,417pvd,,1719243653.1,,,,,
sum_fluorescence_dilated_root,,417r,,2070631004.4,,,,,
