
parameter,genotype,mean_auc,mean_auc_col0,difference,p_value
mean_fluorescence_unknown,s8h,,,,
n_pixels_dilated_root,Col-0,1050088.88,1050088.88,0.0,
n_pixels_dilated_root,cyp82c4,1861317.58,1050088.88,811228.7000000002,2.660795183728823e-05
n_pixels_dilated_root,f6'h1,1564439.52,1050088.88,514350.64000000013,0.0002597274839566237
n_pixels_dilated_root,s8h,552996.3157894737,1050088.88,-497092.5642105262,6.494753008586222e-06
n_pixels_dilated_root_exclusive,Col-0,1011185.56,1011185.56,0.0,
n_pixels_dilated_root_exclusive,cyp82c4,1792778.16,1011185.56,781592.5999999999,2.5989642425607026e-05
n_pixels_dilated_root_exclusive,f6'h1,1505643.66,1011185.56,494458.09999999986,0.00027042870281099865
n_pixels_dilated_root_exclusive,s8h,529731.947368421,1011185.56,-481453.61263157905,6.577114771044814e-06
n_pixels_lateral_root,Col-0,11384.2,11384.2,0.0,
n_pixels_lateral_root,cyp82c4,23335.74,11384.2,11951.54,0.012445776933786944
n_pixels_lateral_root,f6'h1,17114.66,11384.2,5730.459999999999,0.04197929060392055
n_pixels_lateral_root,s8h,13506.088235294117,11384.2,2121.8882352941164,0.3013172406344513
n_pixels_main_root,Col-0,29876.5,29876.5,0.0,
n_pixels_main_root,cyp82c4,50446.48,29876.5,20569.980000000003,6.751648933849726e-06
n_pixels_main_root,f6'h1,43991.1,29876.5,14114.599999999999,0.0004448242674426421
n_pixels_main_root,s8h,14673.78947368421,29876.5,-15202.71052631579,5.37763628616892e-06
n_pixels_main_root_tip,Col-0,1098.0,1098.0,0.0,
n_pixels_main_root_tip,cyp82c4,1115.08,1098.0,17.079999999999927,0.19352050058879827
n_pixels_main_root_tip,f6'h1,1119.96,1098.0,21.960000000000036,0.1246079090295891
n_pixels_main_root_tip,s8h,1069.1052631578948,1098.0,-28.894736842105203,0.5915469932477384
n_pixels_node,Col-0,3567.32,3567.32,0.0,
n_pixels_node,cyp82c4,4502.28,3567.32,934.9599999999996,0.012820835917846909
n_pixels_node,f6'h1,4086.625,3567.32,519.3049999999998,0.14632526872133755
n_pixels_node,s8h,3456.5882352941176,3567.32,-110.7317647058826,0.7523293506888475
n_pixels_other_tip,Col-0,5794.66,5794.66,0.0,
n_pixels_other_tip,cyp82c4,7873.66,5794.66,2079.0,0.01748359770337345
n_pixels_other_tip,f6'h1,6143.86,5794.66,349.1999999999998,0.6048997231617278
n_pixels_other_tip,s8h,5842.921052631579,5794.66,48.26105263157933,0.9265681436041381
n_pixels_shoot,Col-0,32078.44,32078.44,0.0,
n_pixels_shoot,cyp82c4,51265.8,32078.44,19187.360000000004,8.258590444790101e-07
n_pixels_shoot,f6'h1,36565.88,32078.44,4487.439999999999,0.06375758009934163
n_pixels_shoot,s8h,33261.26470588235,32078.44,1182.8247058823508,0.7016046656884276
n_pixels_unknown,Col-0,0.0,0.0,0.0,
n_pixels_unknown,cyp82c4,0.0,0.0,0.0,
n_pixels_unknown,f6'h1,0.0,0.0,0.0,
n_pixels_unknown,s8h,0.0,0.0,0.0,
sum_fluorescence_dilated_root,Col-0,1199479112.76,1199479112.76,0.0,
sum_fluorescence_dilated_root,cyp82c4,2096055914.12,1199479112.76,896576801.3599999,0.0005408797575390464
sum_fluorescence_dilated_root,f6'h1,1200634504.0,1199479112.76,1155391.2400000095,0.9928394464551549
sum_fluorescence_dilated_root,s8h,773789066.6052631,1199479112.76,-425690046.1547369,0.0008419600245366134
sum_fluorescence_dilated_root_exclusive,Col-0,1143073642.92,1143073642.92,0.0,
sum_fluorescence_dilated_root_exclusive,cyp82c4,1990554092.22,1143073642.92,847480449.3,0.0005507576310599241
sum_fluorescence_dilated_root_exclusive,f6'h1,1150777926.78,1143073642.92,7704283.859999895,0.9502717058120731
sum_fluorescence_dilated_root_exclusive,s8h,731121504.9736842,1143073642.92,-411952137.9463159,0.0007510512844455657
sum_fluorescence_lateral_root,Col-0,14786601.48,14786601.48,0.0,
sum_fluorescence_lateral_root,cyp82c4,35314376.84,14786601.48,20527775.360000003,0.007305035073566882
sum_fluorescence_lateral_root,f6'h1,13613682.5,14786601.48,-1172918.9800000004,0.6368595762933449
sum_fluorescence_lateral_root,s8h,23203770.70588235,14786601.48,8417169.225882351,0.013230150922254593
sum_fluorescence_main_root,Col-0,44624698.52,44624698.52,0.0,
sum_fluorescence_main_root,cyp82c4,77158796.96,44624698.52,32534098.43999999,0.00010542872616347567
sum_fluorescence_main_root,f6'h1,38379081.22,44624698.52,-6245617.3000000045,0.18964944598563352
sum_fluorescence_main_root,s8h,27515255.07894737,44624698.52,-17109443.441052634,0.00039703456221637333
sum_fluorescence_main_root_tip,Col-0,1437768.62,1437768.62,0.0,
sum_fluorescence_main_root_tip,cyp82c4,1260447.34,1437768.62,-177321.28000000003,5.236575555681734e-06
sum_fluorescence_main_root_tip,f6'h1,985210.4,1437768.62,-452558.2200000001,4.9168031632425065e-17
sum_fluorescence_main_root_tip,s8h,1674620.3684210526,1437768.62,236851.74842105247,0.019602622342540142
sum_fluorescence_node,Col-0,4907726.64,4907726.64,0.0,
sum_fluorescence_node,cyp82c4,7021941.68,4907726.64,2114215.04,0.0017549358418313358
sum_fluorescence_node,f6'h1,3615233.3333333335,4907726.64,-1292493.3066666662,0.003225121655044623
sum_fluorescence_node,s8h,6306033.05882353,4907726.64,1398306.41882353,0.030992427205209762
sum_fluorescence_other_tip,Col-0,6912885.6,6912885.6,0.0,
sum_fluorescence_other_tip,cyp82c4,9676644.58,6912885.6,2763758.9800000004,0.022854980146055373
sum_fluorescence_other_tip,f6'h1,5042790.44,6912885.6,-1870095.1599999992,0.013213993651969156
sum_fluorescence_other_tip,s8h,8824419.710526315,6912885.6,1911534.1105263159,0.012770964489137409
sum_fluorescence_shoot,Col-0,35024733.36,35024733.36,0.0,
sum_fluorescence_shoot,cyp82c4,54850968.08,35024733.36,19826234.72,3.4302152155508e-05
sum_fluorescence_shoot,f6'h1,32684301.78,35024733.36,-2340431.579999998,0.3262933895612746
sum_fluorescence_shoot,s8h,44800985.47058824,35024733.36,9776252.110588238,0.034866931218905134
sum_fluorescence_unknown,Col-0,,,,
sum_fluorescence_unknown,cyp82c4,,,,
sum_fluorescence_unknown,f6'h1,,,,
